
/TSP/pr136.tsp	5	518077.000000	473041.000000	283764.000000	396637.000000	468643.000000	283764.000000	428032.400000	0.952	1.006
/TSP/pr136.tsp	5	438202.000000	423321.000000	432171.000000	366329.000000	305541.000000	305541.000000	393112.800000	1.002	1.011
/TSP/pr136.tsp	5	622967.000000	341989.000000	520527.000000	616381.000000	577223.000000	341989.000000	535817.400000	0.953	1.013
/TSP/pr136.tsp	5	523487.000000	554561.000000	620631.000000	389208.000000	293455.000000	293455.000000	476268.400000	0.950	1.013
/TSP/pr136.tsp	5	466151.000000	521332.000000	279799.000000	622128.000000	380408.000000	279799.000000	453963.600000	0.997	1.015
/TSP/pr136.tsp	5	250611.000000	476547.000000	262907.000000	574951.000000	580569.000000	250611.000000	429117.000000	0.979	1.005
/TSP/pr136.tsp	5	237270.000000	285718.000000	325902.000000	246265.000000	547267.000000	237270.000000	328484.400000	0.952	1.008
/TSP/pr136.tsp	5	286143.000000	337922.000000	425886.000000	521158.000000	415372.000000	286143.000000	397296.200000	0.985	1.010
/TSP/pr136.tsp	5	458515.000000	476650.000000	363722.000000	639019.000000	412082.000000	363722.000000	469997.600000	0.979	1.005
/TSP/pr136.tsp	5	348939.000000	391016.000000	357192.000000	250898.000000	460780.000000	250898.000000	361765.000000	0.968	1.008
/TSP/pr136.tsp	1	453396.000000	453396.000000	453396.000000	0.998	1.018
/TSP/pr136.tsp	1	351709.000000	351709.000000	351709.000000	0.943	1.004
/TSP/pr136.tsp	1	359790.000000	359790.000000	359790.000000	0.901	1.002
/TSP/pr136.tsp	1	332283.000000	332283.000000	332283.000000	0.995	1.029
/TSP/pr136.tsp	1	478036.000000	478036.000000	478036.000000	1.023	1.023
/TSP/pr136.tsp	1	566591.000000	566591.000000	566591.000000	0.996	1.003
/TSP/pr136.tsp	1	310652.000000	310652.000000	310652.000000	0.869	1.003
/TSP/pr136.tsp	1	305405.000000	305405.000000	305405.000000	1.000	1.000
/TSP/pr136.tsp	1	628341.000000	628341.000000	628341.000000	0.240	1.018
/TSP/pr136.tsp	1	271664.000000	271664.000000	271664.000000	1.005	1.005
/TSP/pr136.tsp	1	352078.000000	352078.000000	352078.000000	1.010	1.010
/TSP/pr136.tsp	1	286848.000000	286848.000000	286848.000000	1.001	1.001
/TSP/pr136.tsp	1	360826.000000	360826.000000	360826.000000	1.002	1.002
/TSP/pr136.tsp	1	295120.000000	295120.000000	295120.000000	1.000	1.001
/TSP/pr136.tsp	1	421358.000000	421358.000000	421358.000000	0.943	1.020
/TSP/pr136.tsp	1	326436.000000	326436.000000	326436.000000	0.983	1.001
/TSP/pr136.tsp	1	350244.000000	350244.000000	350244.000000	1.004	1.004
/TSP/pr136.tsp	1	382250.000000	382250.000000	382250.000000	0.893	1.016
/TSP/pr136.tsp	1	270298.000000	270298.000000	270298.000000	0.985	1.002
/TSP/pr136.tsp	1	334033.000000	334033.000000	334033.000000	1.009	1.028
/TSP/pr136.tsp	1	343077.000000	343077.000000	343077.000000	0.999	1.018
/TSP/pr136.tsp	1	364500.000000	364500.000000	364500.000000	1.021	1.021
/TSP/pr136.tsp	1	373413.000000	373413.000000	373413.000000	1.039	1.039
/TSP/pr136.tsp	1	343607.000000	343607.000000	343607.000000	1.047	1.047
/TSP/pr136.tsp	1	440060.000000	440060.000000	440060.000000	0.840	1.004
/TSP/pr136.tsp	1	232091.000000	232091.000000	232091.000000	1.001	1.001
/TSP/pr136.tsp	1	342496.000000	342496.000000	342496.000000	0.973	1.005
/TSP/pr136.tsp	1	408118.000000	408118.000000	408118.000000	0.942	1.002
/TSP/pr136.tsp	1	307413.000000	307413.000000	307413.000000	1.007	1.007
/TSP/pr136.tsp	1	348300.000000	348300.000000	348300.000000	1.036	1.036
/TSP/pr136.tsp	1	371355.000000	371355.000000	371355.000000	0.968	1.001
/TSP/pr136.tsp	1	303106.000000	303106.000000	303106.000000	0.999	1.003
/TSP/pr136.tsp	1	272709.000000	272709.000000	272709.000000	1.001	1.001
/TSP/pr136.tsp	1	277185.000000	277185.000000	277185.000000	1.003	1.003
/TSP/pr136.tsp	1	271620.000000	271620.000000	271620.000000	0.992	1.002
/TSP/pr136.tsp	1	303400.000000	303400.000000	303400.000000	1.002	1.002
/TSP/pr136.tsp	1	465607.000000	465607.000000	465607.000000	0.956	1.033
/TSP/pr136.tsp	1	347162.000000	347162.000000	347162.000000	0.998	1.023
/TSP/pr136.tsp	1	388334.000000	388334.000000	388334.000000	1.001	1.002
/TSP/pr136.tsp	1	316285.000000	316285.000000	316285.000000	1.005	1.005
/TSP/pr136.tsp	1	308678.000000	308678.000000	308678.000000	0.997	1.004
/TSP/pr136.tsp	1	338594.000000	338594.000000	338594.000000	1.003	1.003
/TSP/pr136.tsp	1	342990.000000	342990.000000	342990.000000	0.995	1.002
/TSP/pr136.tsp	1	446019.000000	446019.000000	446019.000000	0.995	1.031
/TSP/pr136.tsp	1	585077.000000	585077.000000	585077.000000	0.981	1.002
/TSP/pr136.tsp	1	325775.000000	325775.000000	325775.000000	0.963	1.028
/TSP/pr136.tsp	1	359872.000000	359872.000000	359872.000000	1.009	1.009
/TSP/pr136.tsp	1	464593.000000	464593.000000	464593.000000	0.909	1.001
/TSP/pr136.tsp	1	356211.000000	356211.000000	356211.000000	0.984	1.021
/TSP/pr136.tsp	1	312040.000000	312040.000000	312040.000000	1.007	1.008
/TSP/pr136.tsp	1	312838.000000	312838.000000	312838.000000	0.944	1.009
